Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-011841,2020-08,03/11/2020 17:54,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,1377,MONTCLAIR AVE,78, , ,1377,MONTCLAIR,883717.3,1031664
20-011935,2020-08,03/12/2020 09:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5720,NATURAL BRIDGE AVE,50,WESTERN INN MOTEL,WESTERN INN MOTEL,5720,NATURAL BRIDGE,885698.6,1038408
20-038712,2020-08,03/12/2020 16:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",9010,HALL ST,79, , ,9010,HALL,899311.1,1054075
20-012125,2020-08,03/13/2020 11:20,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,N KINGSHIGHWAY BLVD / SUBURBAN,53,IN THE ALLEY, , , ,887924.5,1027327
20-034712,2020-08,03/14/2019 12:00,Y, , ,1, ,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,500,N BROADWAY,35, , ,500,BROADWAY,909358.4,1018233
20-012387,2020-08,03/15/2020 08:20,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,0,CLARA AVE / MINERVA AVE,78,ON THE STREET, , , ,883396.9,1031550
20-037512,2020-08,03/15/2020 12:00,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5032,MARDEL AVE,14, , ,5032,MARDEL,883807.1,1004898
20-012581,2020-08,03/15/2020 13:00,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1221,HODIAMONT AVE,48, , ,1221,HODIAMONT,879842.8,1032097
20-012582,2020-08,03/16/2020 01:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,3600,MARCUS AVE,56, , ,3600,MARCUS,0,0
20-035827,2020-08,03/22/2020 18:32,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
20-013580,2020-08,03/23/2020 23:00, , , ,1, ,263120,4,OBSTRUCT GOVRN OP-FALSE REPORT,701,15TH,36, ,@CITY MUSEUM,701,15TH,0,0
20-013580,2020-08,03/23/2020 23:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,701,15TH,36, ,@CITY MUSEUM,701,15TH,0,0
20-013613,2020-08,03/24/2020 17:31,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1300,UNION BLVD,51, , , , ,885454.6,1029663
20-014400,2020-08,03/30/2020 20:00,Y, , ,1, ,175400,5,SEX OFFNS-SX MISCONDUCT/SECOND,0,CLAYTON AVE / S EUCLID AVE,38, , , , ,0,0
20-014511,2020-08,03/31/2020 15:30,Y, , ,1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4808,LEDUC ST,55, , ,4808,LEDUC,890227.5,1030519
20-034387,2020-08,03/31/2020 16:21,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,3700,HOLLY HILLS AVE,1,CARONDELET PARK, ,3700,HOLLY HILLS,889343.3,992254.1
20-035684,2020-08,03/31/2020 20:30,Y, , ,1, , 52322,1,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,4130,GRAVOIS AVE,16, , ,4130,GRAVOIS,889872.6,1003470
20-038507,2020-08,04/01/2020 15:30,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",1000,SIDNEY ST,21,BIG DADDY S, ,1000,SIDNEY,903035.3,1007907
20-014676,2020-08,04/01/2020 19:30,Y, , ,1, , 51211,5,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED,4075,FINNEY AVE,58, , ,4075,FINNEY,894468.5,1025232
