Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-034792,2020-08,08/06/2020 01:30,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,205,N 9TH ST,35, ,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
20-034843,2020-08,08/06/2020 02:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4664,POPE AVE,68, , ,4664,POPE,898531.4,1036615
20-034796,2020-08,08/06/2020 02:30,Y, , ,1, ,151130,1,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,7713,ALASKA AVE,1, , ,7705,ALASKA,886754.1,989685.4
20-034835,2020-08,08/06/2020 03:00,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,6315,SHERRY AVE,76, , ,6300,SHERRY,887949.8,1045117
20-034798,2020-08,08/06/2020 03:45,Y, , ,1, , 65711,2,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT,5419,PERNOD AVE,14, , , , ,882481.4,1005883
20-034800,2020-08,08/06/2020 03:47,Y, , ,1, , 52222,1,BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED,5500,VIRGINIA AVE,1, , ,5500,VIRGINIA,892894.8,994641.2
20-034799,2020-08,08/06/2020 03:50,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3635,VISTA AVE,29, ,@ SLU,3635,VISTA,894354.8,1015713
20-034865,2020-08,08/06/2020 04:20,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,S 14TH ST / CLARK AVE,36, , , , ,905366,1016898
20-034808,2020-08,08/06/2020 05:00,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,200,S TUCKER BLVD,35, ,@CITY JUSTICE CENTER UNIT 4A,200,TUCKER,906343.9,1016785
20-034801,2020-08,08/06/2020 05:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,430,S 15TH ST,36, ,@GREYHOUND,430,15TH,904845.8,1016613
20-034803,2020-08,08/06/2020 05:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5005,MAFFITT AVE,52, , ,5005,MAFFITT,889551.6,1033005
20-035812,2020-08,08/06/2020 06:15,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5632,CHAMBERLAIN AVE,48, , ,5632,CHAMBERLAIN,882399.1,1029710
20-034916,2020-08,08/06/2020 07:25,Y, , ,1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",419,N 9TH ST,35, , ,419,9TH,907857.7,1018282
20-034816,2020-08,08/06/2020 07:30,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",344,CHRISTIAN AVE,74, , ,344,CHRISTIAN,897862.2,1046893
20-034827,2020-08,08/06/2020 07:35,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,S TUCKER BLVD,35, ,@CJC,200,TUCKER,906343.9,1016785
20-034820,2020-08,08/06/2020 08:15,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,S BROADWAY / CHIPPEWA ST,18, , , , ,898455.2,1002491
20-034814,2020-08,08/06/2020 08:23,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,2901,GRAVOIS AVE,25, , ,2900,GRAVOIS,897077.2,1008071
20-034818,2020-08,08/06/2020 08:52,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,3400,S GRAND BLVD,25, , ,3400,GRAND,893643.6,1005881
20-034822,2020-08,08/06/2020 09:10,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-034826,2020-08,08/06/2020 09:35,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-034853,2020-08,08/06/2020 10:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",0,N KINGSHIGHWAY BLVD / WEST PIN,38, , , , ,887329.6,1022870
20-034840,2020-08,08/06/2020 10:30,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4183,FARLIN AVE,68, , ,4183,FARLIN,897475.9,1033189
20-035870,2020-08,08/06/2020 11:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4507,HOLLY AVE,68, , ,4507,HOLLY,898370.8,1035867
20-034849,2020-08,08/06/2020 11:02,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2723,COLEMAN ST,59, , ,2723,COLEMAN,899992.1,1026442
20-034841,2020-08,08/06/2020 11:18,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,5059,N KINGSHIGHWAY BLVD,71, , , , ,893518.8,1039462
20-034847,2020-08,08/06/2020 11:21,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,25,N EUCLID AVE,38,INDIA RASOI,RESTAURANT,25,EUCLID,888185.1,1022365
20-034859,2020-08,08/06/2020 11:45,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4720,MCMILLAN AVE,54, ,DOWNSTAIRS UNIT,4720,MCMILLAN,889927,1026952
20-034959,2020-08,08/06/2020 11:45,Y, , ,1, , 41015,5,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC,14,PARKLAND PL,48, , ,14,PARKLAND,880698.6,1030035
20-034846,2020-08,08/06/2020 11:51,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,7500,PENNSYLVANIA AVE,2, , ,7500,PENNSYLVANIA,889438.9,988656.1
20-034855,2020-08,08/06/2020 12:00,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,0,DR MARTIN LUTHER KING DR / GOO,78,MOM S SOUL FOOD KITCHEN, , , ,883184.1,1033624
20-034855,2020-08,08/06/2020 12:00,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,0,DR MARTIN LUTHER KING DR / GOO,78,MOM S SOUL FOOD KITCHEN, , , ,883184.1,1033624
20-034852,2020-08,08/06/2020 12:10,Y, , ,1, ,266400,1,PUBLIC ORDER-ANIMAL VIOLATION,4200,S BROADWAY,17,MOUNT PLEASANT NEIGHBORHOOD,GRASSY AREA ON NORTH SIDE OF S BROAD,4200,BROADWAY,897498.8,999908
20-037402,2020-08,08/06/2020 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4815,HAMMETT PL,55, , ,1404,GRANVILLE,890576.4,1031261
20-034867,2020-08,08/06/2020 13:29,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,I 70 EASTBOUND / PINE ST,35, ,@I 44 WESTBOUND / PINE ST, , ,909683.8,1017072
20-035006,2020-08,08/06/2020 13:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,5410,GOETHE AVE,6, , ,5010,GOETHE,881398.3,999996.6
20-035180,2020-08,08/06/2020 13:34,Y, , ,1, , 63601,1,"LARCENY-SHOPLIFT $500 - $24,999",932,LOUGHBOROUGH AVE,1, ,@LOUGHBOROUGH COMMONS - BURGER KING,932,LOUGHBOROUGH,888524.2,991611.8
20-034869,2020-08,08/06/2020 13:50,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,999,N 2ND ST,35, ,@HOTEL- FOUR SEASONS,999,2ND,910439.8,1019433
20-034868,2020-08,08/06/2020 13:58,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5092,WELLS AVE,51, , ,5092,WELLS,887288.1,1030397
20-035303,2020-08,08/06/2020 14:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",1408,N KINGSHIGHWAY BLVD,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
20-034877,2020-08,08/06/2020 14:20,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4060,GRAVOIS AVE,15, , ,4060,GRAVOIS,890404.3,1003784
20-036068,2020-08,08/06/2020 14:30,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",625,N EUCLID AVE,38, , ,625,EUCLID,888580.9,1025734
20-034875,2020-08,08/06/2020 14:45,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,CORA AVE / DR MARTIN LUTHER KI,54, , , , ,891111.3,1029046
20-035055,2020-08,08/06/2020 15:00,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4421,MIAMI ST,15, , ,4421,MIAMI,887027.1,1005422
20-034939,2020-08,08/06/2020 15:00,Y, , ,1, , 42016,4,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,2205,ANGELICA ST,65, , ,2205,ANGELICA,903313.7,1030698
20-034878,2020-08,08/06/2020 15:11,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,0,GRAVOIS AVE / RIVER DES PERES,4, ,INTERSECTION,4749,HAMBURG,878582.6,993982.3
20-034883,2020-08,08/06/2020 15:25,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",3623,BAMBERGER AVE,15, , ,3623,BAMBERGER,891771.1,1004124
20-034889,2020-08,08/06/2020 15:35,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3946,N GARRISON AVE,67, , ,3219,BARRETT,902034,1029918
20-034886,2020-08,08/06/2020 15:40,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8205,S BROADWAY,2, ,1ST FLOOR,8205,BROADWAY,887907.9,986691.8
20-034910,2020-08,08/06/2020 16:00,Y, , ,1, , 64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",0,HOLLY HILLS / LEOLA,80,CARONDELET PARK, ,5819,LINDENWOOD,0,0
20-034891,2020-08,08/06/2020 16:05,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,DR MARTIN LUTHER KING DR / GOO,78, ,ALIAS MLK/GOODFELLOW, , ,883184.1,1033624
20-034887,2020-08,08/06/2020 16:11,Y, , ,1, ,263299,3,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,LAFAYETTE AVE / MISSOURI AVE,32, , , , ,900523.3,1012837
20-034898,2020-08,08/06/2020 16:30,Y, , ,1, , 43013,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,2740,CHEROKEE ST,19,LATINO S BEAUTY,BUSINESS,2740,CHEROKEE,897535.3,1005070
20-034898,2020-08,08/06/2020 16:30,Y, , ,1, , 43023,3,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,2740,CHEROKEE ST,19,LATINO S BEAUTY,BUSINESS,2740,CHEROKEE,897535.3,1005070
20-034904,2020-08,08/06/2020 16:51,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2914,SULLIVAN AVE,59, , ,2940,GREER,901319.8,1028128
20-034899,2020-08,08/06/2020 17:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,4920,HAMPTON AVE,7, , ,4920,HAMPTON,879567.6,1002362
20-034994,2020-08,08/06/2020 17:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,400,N 4TH ST,35, , ,400,4TH,909726.3,1018037
20-037434,2020-08,08/06/2020 17:45,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,8330,N BROADWAY,74,NAVAS AUTO REPAIR, ,8330,BROADWAY,897599.8,1048898
20-034911,2020-08,08/06/2020 17:54,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,0,LINDELL BLVD / N SARAH ST,38, , , , ,892822,1021958
20-037447,2020-08,08/06/2020 18:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1962,ARSENAL ST,22, , ,1962,ARSENAL,900256.2,1006504
20-035026,2020-08,08/06/2020 18:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6701,SUTHERLAND AVE,9, , ,6701,SUTHERLAND,875297.6,1004552
20-034920,2020-08,08/06/2020 18:30,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,4171,LINDELL BLVD,38,SCHNUCKS,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
20-034949,2020-08,08/06/2020 18:30,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3809,KEOKUK ST,16, , ,6339,VIRGINIA,891549.5,1002741
20-034917,2020-08,08/06/2020 18:35,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3836,MINNESOTA AVE,16, ,TWO RESIDENCES (3838 AND 3836 MINNES,3836,MINNESOTA,895682.1,1002350
20-034919,2020-08,08/06/2020 18:45,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4158,FINNEY AVE,58, , ,4158,FINNEY,893919.3,1025395
20-034918,2020-08,08/06/2020 19:00,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4600,VERNON AVE,54, , ,4600,VERNON,890819.4,1027982
20-034922,2020-08,08/06/2020 19:00,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4620,S KINGSHIGHWAY BLVD,5, ,@MCDONALDS - S KINGSHIGHWAY,4620,KINGSHIGHWAY,884312.7,1002371
20-034928,2020-08,08/06/2020 19:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4610,LEXINGTON AVE,56, , ,4610,LEXINGTON,893643.8,1033165
20-035015,2020-08,08/06/2020 19:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4527,HOLLY AVE,68, , ,4527,HOLLY,898514.9,1035964
20-034981,2020-08,08/06/2020 19:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1003,S TUCKER BLVD,34, , ,2813,LAFAYETTE,905532,1014351
20-034925,2020-08,08/06/2020 19:40,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,722,BADEN AVE,74, , ,722,BADEN,897340.6,1047905
20-034997,2020-08,08/06/2020 19:49,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3908,ILLINOIS AVE,18, , ,3908,ILLINOIS,899192.6,1001317
20-034955,2020-08,08/06/2020 20:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5923,MAPLE AVE,48, , ,5923,MAPLE,880089.1,1029831
20-034942,2020-08,08/06/2020 20:00,Y, , ,1, , 64711,6,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4515,HOLLY AVE,68, , ,4515,HOLLY,898435.8,1035910
20-034932,2020-08,08/06/2020 20:10,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
20-034935,2020-08,08/06/2020 20:30,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5452,GRAVOIS AVE,5,PEPPERS BAR, ,5400,GRAVOIS,885652,999380.2
20-034936,2020-08,08/06/2020 20:40,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5899,DELMAR BLVD,48, , , , ,880094.9,1027364
20-034937,2020-08,08/06/2020 20:45,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,4266,S BROADWAY,17,O REILLY AUTO PARTS, ,4266,BROADWAY,897110.2,999478.4
20-034978,2020-08,08/06/2020 21:00,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,7912,IVORY AVE,2, , ,7912,IVORY,887394.2,988479.3
20-034940,2020-08,08/06/2020 21:15,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,FAIR AVE / W NATURAL BRIDGE AV,56, , , , ,897613.6,1031635
20-034941,2020-08,08/06/2020 21:17,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,LABADIE AVE / N NEWSTEAD AVE,56, , , , ,894499.7,1031140
20-034953,2020-08,08/06/2020 21:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2115,MADISON ST,60, , ,2115,MADISON,904084.1,1024520
20-034944,2020-08,08/06/2020 21:40,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,420,N 6TH ST,35, ,PARKING GARAGE,420,6TH,908992.6,1018056
20-034980,2020-08,08/06/2020 22:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,1948,BERRA CT,12, , ,1948,BERRA,882616,1013787
20-035029,2020-08,08/06/2020 22:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5524,ITASKA ST,7, , ,5524,ITASKA,880756.9,1001690
20-035054,2020-08,08/06/2020 22:00,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",3447,LAFAYETTE AVE,31, , ,3447,LAFAYETTE,895491.3,1013683
20-035004,2020-08,08/06/2020 22:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4741,WREN AVE,72, , ,4741,WREN,889102.1,1042227
20-036999,2020-08,08/06/2020 22:15,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1114,LUCAS AVE,35, , ,1114,LUCAS,907340.6,1019121
20-034951,2020-08,08/06/2020 22:20,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,801,WASHINGTON AVE,35,AMERICAS CENTER, , , ,908274.4,1018756
20-034957,2020-08,08/06/2020 23:05,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,0,BAMBERGER AVE / GRAVOIS AVE,15, , ,3623,BAMBERGER,891948.5,1004428
20-034957,2020-08,08/06/2020 23:05,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,BAMBERGER AVE / GRAVOIS AVE,15, , ,3623,BAMBERGER,891948.5,1004428
20-034975,2020-08,08/06/2020 23:08,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N GRAND BLVD / NATURAL BRIDGE,59, , , , ,901069.3,1029712
20-034958,2020-08,08/06/2020 23:20,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,3518,S GRAND BLVD,25, ,GAS STATION,3518,GRAND,893530.5,1004900
20-035425,2020-08,08/07/2020 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,1000,LAMI ST,21, , ,1000,LAMI,0,0
20-034973,2020-08,08/07/2020 00:01,Y, , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,0,N TUCKER BLVD / WASHINGTON AVE,35, , , , ,906851.2,1019079
20-034964,2020-08,08/07/2020 00:01,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3861,FOLSOM AVE,29, , ,3861,FOLSOM,893304.2,1014926
20-034965,2020-08,08/07/2020 00:05,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,201,S 20TH ST,36,UNION STATION DRURY INN,ROOM 620,201,20TH,902918.5,1017646
20-034977,2020-08,08/07/2020 00:30,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5004,RAY AVE,5, , ,5004,RAY,888083.7,999727.3
20-035077,2020-08,08/07/2020 01:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
20-034972,2020-08,08/07/2020 01:00,Y, , ,1, , 44015,5,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3340,HAMILTON AVE,50, , ,4949, ,884326.2,1037879
20-034971,2020-08,08/07/2020 01:04,Y, , ,1, , 10000,6,HOMICIDE,209,E GRAND AVE,64,BP GAS STATION, , , ,904878.5,1034267
20-034961,2020-08,08/07/2020 01:10,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3848,MERAMEC ST,16, , ,3848,MERAMEC,891718.9,1001385
20-034963,2020-08,08/07/2020 01:25,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,GOODFELLOW BLVD / LALITE AVE,76, , , , ,888227.7,1045261
20-034967,2020-08,08/07/2020 01:30,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3635,DUNNICA AVE,16, , ,3635,DUNNICA,892831.9,1002968
20-035042,2020-08,08/07/2020 01:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1000,WASHINGTON AVE,35, , , , ,907483,1018737
20-034966,2020-08,08/07/2020 01:45,Y, , ,1, , 73330,2,AUTO THEFT-MTRCYCLE/PERM RETNT/JOY RIDE,6218,ARTHUR AVE,9, , ,6218,ARTHUR,878712.9,1007792
20-034968,2020-08,08/07/2020 02:15,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2105,HAMPTON AVE,11, , , , ,880860.7,1013686
20-034974,2020-08,08/07/2020 03:20,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3920,HAMPTON AVE,14,WALGREENS, ,3920,HAMPTON,879176.4,1005385
20-035648,2020-08,08/07/2020 03:20,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3920,HAMPTON AVE,14,WALGREENS, ,3920,HAMPTON,879176.4,1005385
20-038233,2020-08,08/07/2020 04:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,W FLORISSANT AVE / I 70 WESTBO,69, , , , ,897826.8,1037741
20-034976,2020-08,08/07/2020 04:10,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3941,SCHILLER PL,5, , ,4023,SCHILLER,888652,998065.2
20-034992,2020-08,08/07/2020 04:45,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",504,N NEWSTEAD AVE,15, , , , ,891159.6,1024529
20-034982,2020-08,08/07/2020 06:37,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,GLADES AVE / MCCAUSLAND AVE,43, , , , ,875064,1015333
20-034985,2020-08,08/07/2020 07:10,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,4218,LINDELL BLVD,38, , ,4218,LINDELL,891808.7,1022061
20-034986,2020-08,08/07/2020 07:13,Y, , ,1, , 72130,2,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,3276,SULPHUR AVE,14, , ,3276,SULPHUR,880308.5,1008130
20-034983,2020-08,08/07/2020 07:20,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,7600,HALL ST,79, ,@WORKHOUSE,7600,HALL,899461.2,1045874
20-036199,2020-08,08/07/2020 08:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,5045,S 37TH ST,16, , ,5045,37TH,890961.8,997996.5
20-035099,2020-08,08/07/2020 08:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3147,TEXAS AVE,30, ,APT B,3147,TEXAS,898510.7,1006680
20-034991,2020-08,08/07/2020 08:43,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,0,LACLEDE AVE / N TAYLOR AVE,38, , , , ,889075.8,1021844
20-034995,2020-08,08/07/2020 09:18,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4610,LEXINGTON AVE,56, , ,4610,LEXINGTON,893643.8,1033165
20-035063,2020-08,08/07/2020 09:30,Y, , ,1, , 41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1342,MONTCLAIR AVE,78, , , , ,883723.4,1031194
20-034993,2020-08,08/07/2020 09:48,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S 8TH ST / CARROLL ST,21,SOULARD MARKET, , , ,905779,1011512
20-035486,2020-08,08/07/2020 10:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",4448,SAINT FERDINAND AVE,57, , ,4448,SAINT FERDINAND,893621.6,1029537
20-035000,2020-08,08/07/2020 10:10,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,5446,SHREVE AVE,71, , ,5446,SHREVE,896150.6,1038759
20-035735,2020-08,08/07/2020 10:15,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8500,N BROADWAY,74, , ,8500,BROADWAY,897467.5,1050141
20-035005,2020-08,08/07/2020 10:45,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,2819,UNION BLVD,50, ,ACCIDENT W/PARKED VEHICLE ON WEST SI, , ,887838.4,1034051
20-035007,2020-08,08/07/2020 11:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4158,FINNEY AVE,58, , ,4158,FINNEY,893919.3,1025395
20-035014,2020-08,08/07/2020 11:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,1708,EDWARDS ST,12, , ,1708,EDWARDS,884827.5,1014667
20-035023,2020-08,08/07/2020 11:58,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2150,SALISBURY ST,65, , ,2150,SALISBURY,904285.3,1028908
20-035183,2020-08,08/07/2020 12:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,4225,W EVANS AVE,58, , ,4225,EVANS,894105.9,1026826
20-035041,2020-08,08/07/2020 12:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,8363,HALLS FERRY RD,74, , ,8363,HALLS FERRY,896696.3,1048842
20-035670,2020-08,08/07/2020 12:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2433,N GRAND BLVD,59, , ,2433,GRAND,899026.8,1026346
20-035012,2020-08,08/07/2020 12:00,Y, , ,1, ,250000,1,LOITERING-BEGGING,4500,S BROADWAY,17,MOUNT PLEASANT NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,4500,BROADWAY,896260.8,997735.4
